example_id,start_language,target_language,source_code,reference_code,translated_code,inference_time,bleu_1,bleu_2,bleu_4,keyword_match,codebleu
2048,Python,C++,"def calcAngle ( h , m ) : NEW_LINE INDENT if ( h < 0 or m < 0 or h > 12 or m > 60 ) : NEW_LINE INDENT print ( ' Wrong ▁ input ' ) NEW_LINE DEDENT if ( h == 12 ) : NEW_LINE INDENT h = 0 NEW_LINE DEDENT if ( m == 60 ) : NEW_LINE INDENT m = 0 NEW_LINE h += 1 ; NEW_LINE if ( h > 12 ) : NEW_LINE INDENT h = h - 12 ; NEW_LINE DEDENT DEDENT hour_angle = 0.5 * ( h * 60 + m ) NEW_LINE minute_angle = 6 * m NEW_LINE angle = abs ( hour_angle - minute_angle ) NEW_LINE angle = min ( 360 - angle , angle ) NEW_LINE return angle NEW_LINE DEDENT h = 9 NEW_LINE m = 60 NEW_LINE print ( ' Angle ▁ ' , calcAngle ( h , m ) ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; int min ( int x , int y ) { return ( x < y ) ? x : y ; } int calcAngle ( double h , double m ) { if ( h < 0 m < 0 h > 12 m > 60 ) printf ( "" Wrong ▁ input "" ) ; if ( h == 12 ) h = 0 ; if ( m == 60 ) { m = 0 ; h += 1 ; if ( h > 12 ) h = h - 12 ; } float hour_angle = 0.5 * ( h * 60 + m ) ; float minute_angle = 6 * m ; float angle = abs ( hour_angle - minute_angle ) ; angle = min ( 360 - angle , angle ) ; return angle ; } int main ( ) { cout << calcAngle ( 9 , 60 ) << endl ; cout << calcAngle ( 3 , 30 ) << endl ; return 0 ; }","#include <iostream> #include <cmath> using namespace std; double calcAngle(int h, int m) { if (h < 0 || m < 0 || h > 12 || m > 60) { cout << ""Wrong input"" << endl; return -1.0; // Returning a default error value } if(h == 12) { h = 0; } if(m == 60) { m = 0; h += 1; if (h > 12){ h -= 12; } double hour_angle = 0.5 * (h * 60 + m); double minute_angle = 6 * m; double angle = abs(hour_angle - minute_angle); if(360 - angle < angle){ return 360 - angle; // Return the smaller of two possible angles. } else { return angle; } } int main() { int h = 9, m = 60; cout << ""Angle is: "" << calcAngle(h, m) << endl; return 0; } ",8.255122900009155,0.7623762376237624,0.6633086206215234,0.49809462981523256,0.8000000000000002,0.5886662408706629
13186,Python,C++,"def moduloMultiplication ( a , b , mod ) : NEW_LINE INDENT a = a % mod ; NEW_LINE while ( b ) : NEW_LINE INDENT if ( b & 1 ) : NEW_LINE INDENT res = ( res + a ) % mod ; NEW_LINE DEDENT a = ( 2 * a ) % mod ; NEW_LINE DEDENT return res ; NEW_LINE DEDENT a = 10123465234878998 ; NEW_LINE b = 65746311545646431 ; NEW_LINE m = 10005412336548794 ; NEW_LINE print ( moduloMultiplication ( a , b , m ) ) ; NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; long long moduloMultiplication ( long long a , long long b , long long mod ) { a %= mod ; while ( b ) { if ( b & 1 ) res = ( res + a ) % mod ; a = ( 2 * a ) % mod ; } return res ; } int main ( ) { long long a = 426 ; long long b = 964 ; long long m = 235 ; cout << moduloMultiplication ( a , b , m ) ; return 0 ; }","#include <iostream> using namespace std; long long moduloMultiplication(long long a , long long b , long long mod) { a = a % mod; long long res = 0; // initialize result as 0 while (b) { if (b & 1) res = (res + a) % mod; a = (2 * a) % mod; b >>= 1; <｜begin▁of▁sentence｜>}",4.021177291870117,0.6608906516364649,0.5977158623015191,0.5225558316174215,0.6666666666666666,0.565789082132195
2200,Python,C++,"def findMaximum ( arr , low , high ) : NEW_LINE INDENT if low == high : NEW_LINE INDENT return arr [ low ] NEW_LINE DEDENT if high == low + 1 and arr [ low ] >= arr [ high ] : NEW_LINE INDENT return arr [ low ] ; NEW_LINE DEDENT if high == low + 1 and arr [ low ] < arr [ high ] : NEW_LINE INDENT return arr [ high ] NEW_LINE DEDENT mid = ( low + high ) // 2 NEW_LINE if arr [ mid ] > arr [ mid + 1 ] and arr [ mid ] > arr [ mid - 1 ] : NEW_LINE INDENT return arr [ mid ] NEW_LINE DEDENT if arr [ mid ] > arr [ mid + 1 ] and arr [ mid ] < arr [ mid - 1 ] : NEW_LINE INDENT return findMaximum ( arr , low , mid - 1 ) NEW_LINE DEDENT else : NEW_LINE INDENT return findMaximum ( arr , mid + 1 , high ) NEW_LINE DEDENT DEDENT arr = [ 1 , 3 , 50 , 10 , 9 , 7 , 6 ] NEW_LINE n = len ( arr ) NEW_LINE print ( "" The ▁ maximum ▁ element ▁ is ▁ % d "" % findMaximum ( arr , 0 , n - 1 ) ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; int findMaximum ( int arr [ ] , int low , int high ) { if ( low == high ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] >= arr [ high ] ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] < arr [ high ] ) return arr [ high ] ; int mid = ( low + high ) / 2 ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] > arr [ mid - 1 ] ) return arr [ mid ] ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] < arr [ mid - 1 ] ) return findMaximum ( arr , low , mid - 1 ) ; else return findMaximum ( arr , mid + 1 , high ) ; } int main ( ) { int arr [ ] = { 1 , 3 , 50 , 10 , 9 , 7 , 6 } ; int n = sizeof ( arr ) / sizeof ( arr [ 0 ] ) ; cout << "" The ▁ maximum ▁ element ▁ is ▁ "" << findMaximum ( arr , 0 , n - 1 ) ; return 0 ; }","#include <iostream> #include <vector> using namespace std; int findMaximum(vector<int>& arr, int low, int high){ if (low == high) { return arr[low]; } if ((high == low + 1) && (arr[low] >= arr[high])) { return arr[low]; } if ((high == low + 1) && (arr[low] < arr[high])) { return arr[high]; } int mid = (low + high) / 2; if((arr[mid] > arr[mid+1]) && (arr[mid] > arr[mid-1])) { return arr[mid]; } if((arr[mid] > arr[mid+1]) && (arr[mid] < arr[mid-1])){ return findMaximum(arr, low, mid - 1); }else{ return findMaximum(arr, mid + 1, high); } } int main() { vector<int> arr = {1,3,50,10,9,7,6}; int n = arr.size(); cout<<""The maximum element is "" << findMaximum(arr, 0, n-1) <<endl; } ",7.602782964706421,0.8121631685171198,0.7393344844878195,0.6144467470925107,1.0,0.7301127229647575
9260,Python,C++,PI = 3.14159265 NEW_LINE def length_rope ( r ) : NEW_LINE INDENT return ( ( 2 * PI * r ) + 6 * r ) NEW_LINE DEDENT r = 7 NEW_LINE print ( length_rope ( r ) ) NEW_LINE,#include <bits/stdc++.h> NEW_LINE using namespace std ; #define PI  3.14159265 NEW_LINE float length_rope ( float r ) { return ( ( 2 * PI * r ) + 6 * r ) ; } int main ( ) { float r = 7 ; cout << ceil ( length_rope ( r ) ) << endl ; return 0 ; },#include <iostream> #define PI 3.14159265 #define NEW_LINE std::endl #define INDENT //no indentation here #define DEDENT //no dedentation here double length_rope(double r) { return (2 * PI * r) + (6 * r); } int main() { double r = 7; std::cout << length_rope(r) << NEW_LINE; return 0; } ,7.96354603767395,0.7012987012987013,0.607539776171812,0.4431707729801519,0.6666666666666666,0.5102195410861063
13513,Python,C++,"def gcd ( a , b ) : NEW_LINE INDENT if ( a == 0 ) : NEW_LINE INDENT return b NEW_LINE DEDENT return gcd ( b % a , a ) NEW_LINE DEDENT def phi ( n ) : NEW_LINE INDENT result = 1 NEW_LINE for i in range ( 2 , n ) : NEW_LINE INDENT if ( gcd ( i , n ) == 1 ) : NEW_LINE INDENT result += 1 NEW_LINE DEDENT DEDENT return result NEW_LINE DEDENT for n in range ( 1 , 11 ) : NEW_LINE INDENT print ( "" phi ( "" , n , "" ) ▁ = ▁ "" , phi ( n ) , sep = "" "" ) NEW_LINE DEDENT","#include <iostream> NEW_LINE using namespace std ; int gcd ( int a , int b ) { if ( a == 0 ) return b ; return gcd ( b % a , a ) ; } int phi ( unsigned int n ) { unsigned int result = 1 ; for ( int i = 2 ; i < n ; i ++ ) if ( gcd ( i , n ) == 1 ) result ++ ; return result ; } int main ( ) { int n ; for ( n = 1 ; n <= 10 ; n ++ ) cout << "" phi ( "" << n << "" ) ▁ = ▁ "" << phi ( n ) << endl ; return 0 ; }","#include<iostream> using namespace std; int gcd ( int a , int b ) { if ( a == 0 ) return b; return gcd ( b % a , a ); } int phi ( int n ) { int result = 1; for(int i=2; i<n; ++i) if(gcd(i, n)==1) result+=1; return result; } int main() { for (int n = 1; n <= 10 ; ++n ) cout << ""phi ("" << n << "") = "" << phi(n) << endl; return <｜begin▁of▁sentence｜>42",4.091495990753174,0.8464901015955005,0.8058299721453743,0.7226778398568715,1.0,0.8058744878998101
2000,Python,C++,"def pow ( a , b ) : NEW_LINE INDENT if ( b == 0 ) : NEW_LINE INDENT return 1 NEW_LINE DEDENT answer = a NEW_LINE increment = a NEW_LINE for i in range ( 1 , b ) : NEW_LINE INDENT for j in range ( 1 , a ) : NEW_LINE INDENT answer += increment NEW_LINE DEDENT increment = answer NEW_LINE DEDENT return answer NEW_LINE DEDENT print ( pow ( 5 , 3 ) ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; int pow ( int a , int b ) { if ( b == 0 ) return 1 ; int answer = a ; int increment = a ; int i , j ; for ( i = 1 ; i < b ; i ++ ) { for ( j = 1 ; j < a ; j ++ ) { answer += increment ; } increment = answer ; } return answer ; } int main ( ) { cout << pow ( 5 , 3 ) ; return 0 ; }","#include<iostream> using namespace std; int pow(int a , int b ){ if (b == 0){ return 1 ; } int answer = a ; int increment = a ; for (int i = 1 ; i < b ;i++ ){ for (int j = 1 ;j<a;j++){ answer += increment ; } increment = answer ; } return answer ; } int main(){ cout << pow(5,3)<<endl; } ",3.2739417552948,0.8461238451627283,0.7961424699549058,0.6957447122266966,1.0,0.7870212985586876
1682,Python,C++,"def equilibrium ( arr ) : NEW_LINE INDENT leftsum = 0 NEW_LINE rightsum = 0 NEW_LINE n = len ( arr ) NEW_LINE for i in range ( n ) : NEW_LINE INDENT leftsum = 0 NEW_LINE rightsum = 0 NEW_LINE for j in range ( i ) : NEW_LINE INDENT leftsum += arr [ j ] NEW_LINE DEDENT for j in range ( i + 1 , n ) : NEW_LINE INDENT rightsum += arr [ j ] NEW_LINE DEDENT if leftsum == rightsum : NEW_LINE INDENT return i NEW_LINE DEDENT DEDENT return - 1 NEW_LINE DEDENT arr = [ - 7 , 1 , 5 , 2 , - 4 , 3 , 0 ] NEW_LINE print ( equilibrium ( arr ) ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; int equilibrium ( int arr [ ] , int n ) { int i , j ; int leftsum , rightsum ; for ( i = 0 ; i < n ; ++ i ) { leftsum = 0 ; rightsum = 0 ; for ( j = 0 ; j < i ; j ++ ) leftsum += arr [ j ] ; for ( j = i + 1 ; j < n ; j ++ ) rightsum += arr [ j ] ; if ( leftsum == rightsum ) return i ; } return -1 ; } int main ( ) { int arr [ ] = { -7 , 1 , 5 , 2 , -4 , 3 , 0 } ; int arr_size = sizeof ( arr ) / sizeof ( arr [ 0 ] ) ; cout << equilibrium ( arr , arr_size ) ; return 0 ; }","#include<iostream> #include<vector> using namespace std; int equilibrium(const vector<int>& arr){ int leftsum = 0, rightsum = 0, n = arr.size(); for(int i=0; i<n; ++i){ leftsum = 0; rightsum = 0; for(int j=0; j<i; ++j) leftsum += arr[j]; for(int j=i+1; j<n; ++j) rightsum += arr[j]; if (leftsum == rightsum) return i; } return -1; } int main(){ vector<int> arr = {-7, 1, 5, 2, -4, 3, 0}; cout << equilibrium(arr)<<endl; return <｜begin▁of▁sentence｜>0; } ",8.367204189300537,0.7755784297961125,0.6918746251112661,0.5618516490622432,0.888888888888889,0.6599628210102368
13511,Python,C++,"def modInverse ( a , m ) : NEW_LINE INDENT m0 = m NEW_LINE y = 0 NEW_LINE x = 1 NEW_LINE if ( m == 1 ) : NEW_LINE INDENT return 0 NEW_LINE DEDENT while ( a > 1 ) : NEW_LINE INDENT q = a // m NEW_LINE t = m NEW_LINE m = a % m NEW_LINE a = t NEW_LINE t = y NEW_LINE y = x - q * y NEW_LINE x = t NEW_LINE DEDENT if ( x < 0 ) : NEW_LINE INDENT x = x + m0 NEW_LINE DEDENT return x NEW_LINE DEDENT a = 3 NEW_LINE m = 11 NEW_LINE print ( "" Modular ▁ multiplicative ▁ inverse ▁ is "" , modInverse ( a , m ) ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; int modInverse ( int a , int m ) { int m0 = m ; int y = 0 , x = 1 ; if ( m == 1 ) return 0 ; while ( a > 1 ) { int q = a / m ; int t = m ; m = a % m , a = t ; t = y ; y = x - q * y ; x = t ; } if ( x < 0 ) x += m0 ; return x ; } int main ( ) { int a = 3 , m = 11 ; cout << "" Modular ▁ multiplicative ▁ inverse ▁ is ▁ "" << modInverse ( a , m ) ; return 0 ; }","#include <iostream> using namespace std; int modInverse (int a, int m){ int m0 = m, y = 0, x = 1; if(m == 1) return 0; while(a > 1){ int q = a / m; int t = m; m = a % m; a = t; t = y; y = x - q * y; x = t; } if(x < 0) x += m0; return x; } int main(){ int a = 3, m = 11; cout<<""Modular multiplicative inverse is ""<<modInverse(a,m)<<endl; return 0; } ",4.707891941070557,0.9508336923796606,0.9184954271417053,0.8669827132360032,1.0,0.9068878992652021
1994,Python,C++,"def isLucky ( n ) : NEW_LINE INDENT next_position = n NEW_LINE if isLucky . counter > n : NEW_LINE INDENT return 1 NEW_LINE DEDENT if n % isLucky . counter == 0 : NEW_LINE INDENT return 0 NEW_LINE DEDENT next_position = next_position - next_position / isLucky . counter NEW_LINE isLucky . counter = isLucky . counter + 1 NEW_LINE return isLucky ( next_position ) NEW_LINE DEDENT isLucky . counter = 2 NEW_LINE x = 5 NEW_LINE if isLucky ( x ) : NEW_LINE INDENT print x , "" is ▁ a ▁ Lucky ▁ number "" NEW_LINE DEDENT else : NEW_LINE INDENT print x , "" is ▁ not ▁ a ▁ Lucky ▁ number "" NEW_LINE DEDENT","#include <bits/stdc++.h> NEW_LINE using namespace std ; #define bool  int NEW_LINE bool isLucky ( int n ) { static int counter = 2 ; int next_position = n ; if ( counter > n ) return 1 ; if ( n % counter == 0 ) return 0 ; next_position -= next_position / counter ; counter ++ ; return isLucky ( next_position ) ; } int main ( ) { int x = 5 ; if ( isLucky ( x ) ) cout << x << "" ▁ is ▁ a ▁ lucky ▁ no . "" ; else cout << x << "" ▁ is ▁ not ▁ a ▁ lucky ▁ no . "" ; }","#include <iostream> using namespace std; int counter = 2; // initialized outside all functions int isLucky(int n) { if (counter > n) { return 1; } if (n % counter == 0) { return 0; } int next_position = n - n / counter; counter += 1; return isLucky(next_position); } int main() { counter = 2; // resetting the variable since it's a global one. int x = 5; if (isLucky(x)) { cout << x << "" is a Lucky number""<< endl; } else { cout << x << "" is not a Lucky number""<< endl; } } ",5.488477945327759,0.6950354609929078,0.6020061025585459,0.4638876419810415,0.8,0.564721349386729
1824,Python,C++,"def printMaxActivities ( s , f ) : NEW_LINE INDENT n = len ( f ) NEW_LINE print "" The ▁ following ▁ activities ▁ are ▁ selected "" NEW_LINE i = 0 NEW_LINE print i , NEW_LINE for j in xrange ( n ) : NEW_LINE INDENT if s [ j ] >= f [ i ] : NEW_LINE INDENT print j , NEW_LINE i = j NEW_LINE DEDENT DEDENT DEDENT s = [ 1 , 3 , 0 , 5 , 8 , 5 ] NEW_LINE f = [ 2 , 4 , 6 , 7 , 9 , 9 ] NEW_LINE printMaxActivities ( s , f ) NEW_LINE","#include <bits/stdc++.h> NEW_LINE using namespace std ; void printMaxActivities ( int s [ ] , int f [ ] , int n ) { int i , j ; cout << "" Following ▁ activities ▁ are ▁ selected ▁ "" << endl ; i = 0 ; cout << "" ▁ "" << i ; for ( j = 1 ; j < n ; j ++ ) { if ( s [ j ] >= f [ i ] ) { cout << "" ▁ "" << j ; i = j ; } } } int main ( ) { int s [ ] = { 1 , 3 , 0 , 5 , 8 , 5 } ; int f [ ] = { 2 , 4 , 6 , 7 , 9 , 9 } ; int n = sizeof ( s ) / sizeof ( s [ 0 ] ) ; printMaxActivities ( s , f , n ) ; return 0 ; }","#include<iostream> #include<vector> using namespace std; void printMaxActivities ( vector<int> s , vector<int> f ) { cout << "" The following activities are selected \n""; int i = 0, n = f.size(); cout<<i<<endl; for (int j = 0; j < n; j++) { if (s[j] >= f[i]) { cout << j << endl; i = j; } } } int main() { vector<int> s = {1, 3, 0, 5, 8, 5}; vector<int> f = {2, 4, 6, 7, 9, 9}; printMaxActivities(s, f); } ",7.641211032867432,0.7371950110176863,0.6452345305847617,0.506449425607777,0.888888888888889,0.6211812645921104
