example_id,start_language,target_language,source_code,reference_code,translated_code,inference_time,bleu_1,bleu_2,bleu_4,keyword_match,codebleu
2048,Java,C++,"import java . io . * ; class GFG { static int calcAngle ( double h , double m ) { if ( h < 0 m < 0 h > 12 m > 60 ) System . out . println ( "" Wrong ▁ input "" ) ; if ( h == 12 ) h = 0 ; if ( m == 60 ) { m = 0 ; h += 1 ; if ( h > 12 ) h = h - 12 ; } int hour_angle = ( int ) ( 0.5 * ( h * 60 + m ) ) ; int minute_angle = ( int ) ( 6 * m ) ; int angle = Math . abs ( hour_angle - minute_angle ) ; angle = Math . min ( 360 - angle , angle ) ; return angle ; } public static void main ( String [ ] args ) { System . out . println ( calcAngle ( 9 , 60 ) + "" ▁ degree "" ) ; System . out . println ( calcAngle ( 3 , 30 ) + "" ▁ degree "" ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; int min ( int x , int y ) { return ( x < y ) ? x : y ; } int calcAngle ( double h , double m ) { if ( h < 0 m < 0 h > 12 m > 60 ) printf ( "" Wrong ▁ input "" ) ; if ( h == 12 ) h = 0 ; if ( m == 60 ) { m = 0 ; h += 1 ; if ( h > 12 ) h = h - 12 ; } float hour_angle = 0.5 * ( h * 60 + m ) ; float minute_angle = 6 * m ; float angle = abs ( hour_angle - minute_angle ) ; angle = min ( 360 - angle , angle ) ; return angle ; } int main ( ) { cout << calcAngle ( 9 , 60 ) << endl ; cout << calcAngle ( 3 , 30 ) << endl ; return 0 ; }","#include <iostream> using namespace std; int calcAngle(double h, double m) { if (h < 0 && m < 0) { cout << ""Wrong input"" << endl; return -1; } else if (h == 12 && m == 60) { h = 0; m = 0; if (h > 12) { h -= 12; } } else { int hour_angle = (int)(0.5 * (h*60 + m)); int minute_angle = (int)(6 * m); int angle = abs(hour_angle - minute_angle); angle = min(360 - angle, angle); } return angle; } int main() { cout << calcAngle(9, 60) << "" degree"" << endl; cout << calcAngle(3, 30) << "" degree"" << endl; return 0; }",5.512237787246704,0.8315093694162835,0.7384173725760957,0.6073022744715947,0.8000000000000002,0.6651115921301163
13186,Java,C++,"class GFG { static long moduloMultiplication ( long a , long b , long mod ) { long res = 0 ; a %= mod ; while ( b > 0 ) { if ( ( b & 1 ) > 0 ) { res = ( res + a ) % mod ; } a = ( 2 * a ) % mod ; } return res ; } public static void main ( String [ ] args ) { long a = 10123465234878998L ; long b = 65746311545646431L ; long m = 10005412336548794L ; System . out . print ( moduloMultiplication ( a , b , m ) ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; long long moduloMultiplication ( long long a , long long b , long long mod ) { a %= mod ; while ( b ) { if ( b & 1 ) res = ( res + a ) % mod ; a = ( 2 * a ) % mod ; } return res ; } int main ( ) { long long a = 426 ; long long b = 964 ; long long m = 235 ; cout << moduloMultiplication ( a , b , m ) ; return 0 ; }","#include <iostream> using namespace std; long moduloMultiplication(long a, long b, long m) { long res = 0; while (b > 0) { if (b % 2 != 0) { res += a % m; } a *= 2; a %= m; b /= 2; } return res; } int main() { long a = 10123465234878998L; long b = 6574631154566431L; long m = 10005412336548794L; cout << moduloMultiplication(a, b, m) << endl; }",4.3813018798828125,0.7756666323576391,0.6570831827464163,0.4475107423916241,1.0,0.6132575196741368
2200,Java,C++,"class Main { static int findMaximum ( int arr [ ] , int low , int high ) { if ( low == high ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] >= arr [ high ] ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] < arr [ high ] ) return arr [ high ] ; int mid = ( low + high ) / 2 ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] > arr [ mid - 1 ] ) return arr [ mid ] ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] < arr [ mid - 1 ] ) return findMaximum ( arr , low , mid - 1 ) ; else return findMaximum ( arr , mid + 1 , high ) ; } public static void main ( String [ ] args ) { int arr [ ] = { 1 , 3 , 50 , 10 , 9 , 7 , 6 } ; int n = arr . length ; System . out . println ( "" The ▁ maximum ▁ element ▁ is ▁ "" + findMaximum ( arr , 0 , n - 1 ) ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; int findMaximum ( int arr [ ] , int low , int high ) { if ( low == high ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] >= arr [ high ] ) return arr [ low ] ; if ( ( high == low + 1 ) && arr [ low ] < arr [ high ] ) return arr [ high ] ; int mid = ( low + high ) / 2 ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] > arr [ mid - 1 ] ) return arr [ mid ] ; if ( arr [ mid ] > arr [ mid + 1 ] && arr [ mid ] < arr [ mid - 1 ] ) return findMaximum ( arr , low , mid - 1 ) ; else return findMaximum ( arr , mid + 1 , high ) ; } int main ( ) { int arr [ ] = { 1 , 3 , 50 , 10 , 9 , 7 , 6 } ; int n = sizeof ( arr ) / sizeof ( arr [ 0 ] ) ; cout << "" The ▁ maximum ▁ element ▁ is ▁ "" << findMaximum ( arr , 0 , n - 1 ) ; return 0 ; }","#include <iostream> using namespace std; int find_maximum(int arr[], int low, int high) { if (low == high) return arr[low]; if ((high - low) == 1 && arr[low] >= arr[high]) return arr[low]; if ((high - low) == 1 && arr[low] < arr[high]) return arr[high]; int mid = (low + high) / 2; if (arr[mid] > arr[mid + 1] && arr[mid] > arr[mid - 1]) return arr[mid]; else if (arr[mid] > arr[mid + 1] && arr[mid] < arr[mid - 1]) return find_maximum(arr, low, mid - 1); else return find_maximum(arr, mid + 1, high); } int main() { int arr[] = {1, 3, 50, 10, 9, 7, 6}; int n = sizeof(arr) / sizeof(arr[0]); cout << ""The maximum element is: "" << find_maximum(arr, 0, n - 1) << endl; return 0; }",6.451391935348511,0.9540229885057471,0.9106405087424388,0.8589359340333386,1.0,0.9012551538233369
9260,Java,C++,import java . lang . * ; class GFG { static double PI = 3.14159265 ; public static double length_rope ( double r ) { return ( ( 2 * PI * r ) + 6 * r ) ; } public static void main ( String [ ] args ) { double r = 7 ; System . out . println ( length_rope ( r ) ) ; } },#include <bits/stdc++.h> NEW_LINE using namespace std ; #define PI  3.14159265 NEW_LINE float length_rope ( float r ) { return ( ( 2 * PI * r ) + 6 * r ) ; } int main ( ) { float r = 7 ; cout << ceil ( length_rope ( r ) ) << endl ; return 0 ; },#include <iostream> using namespace std; int main() { int pi = 3141; double rope_length(double r){ return ((2*pi*r) + 6*r); } cout << rope_length(7) << endl; return 0; },1.632277011871338,0.7191070868408715,0.6195129464367595,0.48517007502533455,0.6666666666666666,0.5396190525177341
13513,Java,C++,"import java . io . * ; class GFG { static int gcd ( int a , int b ) { if ( a == 0 ) return b ; return gcd ( b % a , a ) ; } static int phi ( int n ) { int result = 1 ; for ( int i = 2 ; i < n ; i ++ ) if ( gcd ( i , n ) == 1 ) result ++ ; return result ; } public static void main ( String [ ] args ) { int n ; for ( n = 1 ; n <= 10 ; n ++ ) System . out . println ( "" phi ( "" + n + "" ) ▁ = ▁ "" + phi ( n ) ) ; } }","#include <iostream> NEW_LINE using namespace std ; int gcd ( int a , int b ) { if ( a == 0 ) return b ; return gcd ( b % a , a ) ; } int phi ( unsigned int n ) { unsigned int result = 1 ; for ( int i = 2 ; i < n ; i ++ ) if ( gcd ( i , n ) == 1 ) result ++ ; return result ; } int main ( ) { int n ; for ( n = 1 ; n <= 10 ; n ++ ) cout << "" phi ( "" << n << "" ) ▁ = ▁ "" << phi ( n ) << endl ; return 0 ; }","#include <iostream> using namespace std; int gcd(int a, int b) { if (a == 0) return b; return gcd(b % a, a); } int phi(int n) { int result = 1; for (int i = 2; i < n; i++) if (gcd(i, n) == 1) result++; return result; } int main() { int n; for (n = 1; n <= 10; n++){ cout << ""phi("" << n << "") = "" << phi(n) << endl; } system(""pause""); return 0; }",3.3358170986175537,0.9148936170212766,0.8818500861643577,0.8192235416106431,1.0,0.8734564791274502
2000,Java,C++,"import java . io . * ; class GFG { static int pow ( int a , int b ) { if ( b == 0 ) return 1 ; int answer = a ; int increment = a ; int i , j ; for ( i = 1 ; i < b ; i ++ ) { for ( j = 1 ; j < a ; j ++ ) { answer += increment ; } increment = answer ; } return answer ; } public static void main ( String [ ] args ) { System . out . println ( pow ( 5 , 3 ) ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; int pow ( int a , int b ) { if ( b == 0 ) return 1 ; int answer = a ; int increment = a ; int i , j ; for ( i = 1 ; i < b ; i ++ ) { for ( j = 1 ; j < a ; j ++ ) { answer += increment ; } increment = answer ; } return answer ; } int main ( ) { cout << pow ( 5 , 3 ) ; return 0 ; }","#include <iostream> using namespace std; int pow( int a, int b ) { if ( b == 0 ) return 1; int answer = a; int increment = a; for ( int i = 1 ; i < b ; i++ ) { for ( int j = 1 ; j < a ; j++ ) { answer += increment; } increment = answer; } return answer; } int main() { cout << ""5 to the power 3 is: "" << pow( 5, 3 ); system(""pause""); return 0; }",2.631074905395508,0.8205128205128205,0.788960076156168,0.7206326326904724,1.0,0.8044428428833306
1682,Java,C++,"class EquilibriumIndex { int equilibrium ( int arr [ ] , int n ) { int i , j ; int leftsum , rightsum ; for ( i = 0 ; i < n ; ++ i ) { leftsum = 0 ; rightsum = 0 ; for ( j = 0 ; j < i ; j ++ ) leftsum += arr [ j ] ; for ( j = i + 1 ; j < n ; j ++ ) rightsum += arr [ j ] ; if ( leftsum == rightsum ) return i ; } return - 1 ; } public static void main ( String [ ] args ) { EquilibriumIndex equi = new EquilibriumIndex ( ) ; int arr [ ] = { - 7 , 1 , 5 , 2 , - 4 , 3 , 0 } ; int arr_size = arr . length ; System . out . println ( equi . equilibrium ( arr , arr_size ) ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; int equilibrium ( int arr [ ] , int n ) { int i , j ; int leftsum , rightsum ; for ( i = 0 ; i < n ; ++ i ) { leftsum = 0 ; rightsum = 0 ; for ( j = 0 ; j < i ; j ++ ) leftsum += arr [ j ] ; for ( j = i + 1 ; j < n ; j ++ ) rightsum += arr [ j ] ; if ( leftsum == rightsum ) return i ; } return -1 ; } int main ( ) { int arr [ ] = { -7 , 1 , 5 , 2 , -4 , 3 , 0 } ; int arr_size = sizeof ( arr ) / sizeof ( arr [ 0 ] ) ; cout << equilibrium ( arr , arr_size ) ; return 0 ; }","class EquilibriumIndex { int equilibrium(); public static void main(String[] args) { EquilibriumIndex equi = new EquilibriumIndex(); int arr[] = {-7, 1, 5, 2, -4, 3, 0}; int arr_size = arr.length; System.out.println(equi.equilibrium(arr, arr_size)); } public static int equilibrium(int arr[], int n) { int i, j, leftsum, rightsum; for (i = 0; i < n; i++) { leftsum = 0; rightsum = 0; for (j = 0; j < i; j++) { leftsum += arr[j]; } for (j = i + 1; j < n; j++) { rightsum += arr[j]; } if (leftsum == rightsum) { return i; } } return -1; } }",8.184107065200806,0.8165680473372781,0.757325453667452,0.6480693303721999,0.6153846153846153,0.6382639158759246
13511,Java,C++,"class GFG { static int modInverse ( int a , int m ) { int m0 = m ; int y = 0 , x = 1 ; if ( m == 1 ) return 0 ; while ( a > 1 ) { int q = a / m ; int t = m ; m = a % m ; a = t ; t = y ; y = x - q * y ; x = t ; } if ( x < 0 ) x += m0 ; return x ; } public static void main ( String args [ ] ) { int a = 3 , m = 11 ; System . out . println ( "" Modular ▁ multiplicative ▁ "" + "" inverse ▁ is ▁ "" + modInverse ( a , m ) ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; int modInverse ( int a , int m ) { int m0 = m ; int y = 0 , x = 1 ; if ( m == 1 ) return 0 ; while ( a > 1 ) { int q = a / m ; int t = m ; m = a % m , a = t ; t = y ; y = x - q * y ; x = t ; } if ( x < 0 ) x += m0 ; return x ; } int main ( ) { int a = 3 , m = 11 ; cout << "" Modular ▁ multiplicative ▁ inverse ▁ is ▁ "" << modInverse ( a , m ) ; return 0 ; }","#include <iostream> using namespace std; int modInverse(int a, int m){ if (m == 1){ return 0; } int x = 0, y = 1, m0 = m; while (a > 1){ int q = a/m; int t = m; m = a%m; a = t; t = y; y = x-q*y; x = t; } if (x < 0) { x += m0; } return x; } int main(){ int a = 3, m = 11; cout << ""Modular ▁ multiplicative ▁ inverses ▁ is "" << modInverse(a,m) << endl; }",3.730407953262329,0.9018937229189429,0.8396119598295895,0.718008314631237,1.0,0.802605820241866
1994,Java,C++,"import java . io . * ; class GFG { public static int counter = 2 ; static boolean isLucky ( int n ) { int next_position = n ; if ( counter > n ) return true ; if ( n % counter == 0 ) return false ; next_position -= next_position / counter ; counter ++ ; return isLucky ( next_position ) ; } public static void main ( String [ ] args ) { int x = 5 ; if ( isLucky ( x ) ) System . out . println ( x + "" ▁ is ▁ a ▁ lucky ▁ no . "" ) ; else System . out . println ( x + "" ▁ is ▁ not ▁ a ▁ lucky ▁ no . "" ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; #define bool  int NEW_LINE bool isLucky ( int n ) { static int counter = 2 ; int next_position = n ; if ( counter > n ) return 1 ; if ( n % counter == 0 ) return 0 ; next_position -= next_position / counter ; counter ++ ; return isLucky ( next_position ) ; } int main ( ) { int x = 5 ; if ( isLucky ( x ) ) cout << x << "" ▁ is ▁ a ▁ lucky ▁ no . "" ; else cout << x << "" ▁ is ▁ not ▁ a ▁ lucky ▁ no . "" ; }","#include <iostream> using namespace std; int counter = 2; bool isLucky(int n); int main() { int x = 5; if (isLucky(x)) { cout << x << "" ▁ is ▁ a ▁ lucky ▁ no ."" << endl; } else { cout << x << "" ▁ is ▁ not ▁ a ▁ lucky ▁ no ."" << endl; } return 0; }",2.8701441287994385,0.5984284820425366,0.5588448444912224,0.4720810865320899,0.9090909090909091,0.6031840332997356
1824,Java,C++,"import java . util . * ; import java . lang . * ; import java . io . * ; class ActivitySelection { public static void printMaxActivities ( int s [ ] , int f [ ] , int n ) { int i , j ; System . out . print ( "" Following ▁ activities ▁ are ▁ selected ▁ : ▁ n "" ) ; i = 0 ; System . out . print ( i + "" ▁ "" ) ; for ( j = 1 ; j < n ; j ++ ) { if ( s [ j ] >= f [ i ] ) { System . out . print ( j + "" ▁ "" ) ; i = j ; } } } public static void main ( String [ ] args ) { int s [ ] = { 1 , 3 , 0 , 5 , 8 , 5 } ; int f [ ] = { 2 , 4 , 6 , 7 , 9 , 9 } ; int n = s . length ; printMaxActivities ( s , f , n ) ; } }","#include <bits/stdc++.h> NEW_LINE using namespace std ; void printMaxActivities ( int s [ ] , int f [ ] , int n ) { int i , j ; cout << "" Following ▁ activities ▁ are ▁ selected ▁ "" << endl ; i = 0 ; cout << "" ▁ "" << i ; for ( j = 1 ; j < n ; j ++ ) { if ( s [ j ] >= f [ i ] ) { cout << "" ▁ "" << j ; i = j ; } } } int main ( ) { int s [ ] = { 1 , 3 , 0 , 5 , 8 , 5 } ; int f [ ] = { 2 , 4 , 6 , 7 , 9 , 9 } ; int n = sizeof ( s ) / sizeof ( s [ 0 ] ) ; printMaxActivities ( s , f , n ) ; return 0 ; }","#include <iostream> #include <vector> using namespace std; int print_max_activities(vector<int> &s, vector<int> &f, int n) { cout << ""Following activities are selected:"" << endl; for (int i = 0; i < n; i++) { cout << i + 1 << "" - ""; } cout << endl; int j = 1; for (int i = 1; i < n; i++, j = max(j, s[i] >= f[0] ? 1 : 0)) { if (s[i] >= f[j - 1]) { cout << s[i] << "" - ""; } } } int main() { vector<int> s = {1, 3, 0, 5, 8, 5}; vector<int> f = {2, 4, 6, 7, 9, 9}; int n = s.size(); print_max_activities(s, f, n); }",5.565909147262573,0.7222222222222222,0.610629361441344,0.4280478651106512,0.7499999999999999,0.5246335055774558
